,Number of Medicare Beneficiaries-2012,Total Drug Medicare Payment Amount-2012,Total Medical Medicare Payment Amount-2012,Number of Medicare Beneficiaries-2013,Total Drug Medicare Payment Amount-2013,Total Medical Medicare Payment Amount-2013,Number of Medicare Beneficiaries-2014,Total Drug Medicare Payment Amount-2014,Total Medical Medicare Payment Amount-2014,Number of Medicare Beneficiaries-2015,Total Drug Medicare Payment Amount-2015,Total Medical Medicare Payment Amount-2015,Number of Medicare Beneficiaries-2016,Total Drug Medicare Payment Amount-2016,Total Medical Medicare Payment Amount-2016,Number of Medicare Beneficiaries-2017,Total Drug Medicare Payment Amount-2017,Total Medical Medicare Payment Amount-2017,Number of Medicare Beneficiaries-2018,Total Drug Medicare Payment Amount-2018,Total Medical Medicare Payment Amount-2018
1477733772,527.0,2096.59,157710.02,559.0,2396.67,167630.05,603.0,1982.92,183916.18,428.0,6722.76,97408.79,244.0,15018.47,73266.97,362.0,44717.26,113742.75,633.0,65770.37,195969.15
1477735595,50.0,,,180.0,31593.87,59890.15,,,,,,,,,,,,,,,
1477767648,595.0,0.0,219818.72,790.0,0.0,275360.18,843.0,0.0,266460.85,879.0,,,845.0,,,966.0,0.0,339531.28,1008.0,0.0,362894.8
1477782753,,,,,,,,,,,,,,,,11.0,0.0,746.72,19.0,0.0,4096.25
1477788412,,,,,,,45.0,0.0,9042.13,111.0,0.0,21907.48,111.0,,,13.0,,,12.0,,
1477807758,,,,,,,,,,12.0,0.0,1817.28,19.0,0.0,4131.01,24.0,0.0,1835.64,295.0,0.0,49283.44
1477844108,,,,,,,,,,,,,,,,254.0,140102.44,99846.4,,,
1477879823,,,,,,,83.0,0.0,4618.56,207.0,,,484.0,,,422.0,23649.39,118062.95,892.0,76508.34,304208.88
1477959096,,,,,,,,,,,,,,,,,,,72.0,0.0,8714.98
1487099412,,,,,,,,,,,,,,,,,,,118.0,,
1487606828,11.0,0.0,2646.75,14.0,0.0,3034.31,14.0,0.0,2922.47,17.0,0.0,2770.05,11.0,0.0,1777.03,,,,12.0,0.0,1463.78
1487608766,,,,,,,,,,,,,61.0,,,47.0,0.0,14276.21,75.0,0.0,27737.11
1487646188,192.0,0.0,24293.01,218.0,0.0,28218.74,168.0,0.0,22144.93,,,,,,,,,,,,
1487680328,447.0,32484.13,379249.21,415.0,36005.57,304151.76,478.0,16895.16,305167.65,481.0,31594.53,382270.17,439.0,63218.87,413568.53,421.0,51815.59,411716.97,474.0,133559.54,392806.28
1487682423,1493.0,,,1497.0,,,1415.0,,,1276.0,571.17,744842.29,1292.0,345.64,790099.53,1317.0,33.29,829047.77,1232.0,28.8,797671.38
1487701850,756.0,0.0,193493.96,742.0,0.0,161088.14,758.0,0.0,169972.31,757.0,0.0,168074.42,804.0,0.0,157029.26,831.0,0.0,165372.45,877.0,0.0,162422.77
1487702411,,,,14.0,0.0,4505.27,,,,11.0,0.0,748.26,18.0,0.0,3744.92,11.0,0.0,1640.62,17.0,0.0,2159.05
1487712071,755.0,,,713.0,,,645.0,,,636.0,,,908.0,,,798.0,0.0,365972.22,737.0,,
1487713061,221.0,0.0,70317.22,229.0,0.0,60557.28,225.0,0.0,57061.29,218.0,0.0,60993.63,258.0,0.0,68354.69,259.0,0.0,51576.25,256.0,0.0,65916.89
1487732277,,,,,,,,,,,,,15.0,0.0,3600.97,,,,,,
1487737847,178.0,0.0,37404.66,259.0,0.0,36969.59,186.0,0.0,31507.57,258.0,0.0,41116.01,279.0,0.0,46203.44,288.0,0.0,45631.39,319.0,0.0,60117.6
1487766317,653.0,0.0,169912.91,663.0,0.0,164592.76,613.0,0.0,152179.57,376.0,0.0,60087.34,17.0,0.0,2695.42,317.0,0.0,40243.11,397.0,0.0,47817.5
1487767190,1012.0,0.0,464677.92,1019.0,0.0,451072.79,1117.0,0.0,565491.87,1001.0,0.0,494116.31,1041.0,0.0,629581.01,1049.0,0.0,627337.68,1154.0,0.0,705248.44
1487785101,395.0,,,379.0,,,351.0,,,337.0,,,334.0,,,336.0,,,348.0,,
1487819579,,,,,,,12.0,,,16.0,0.0,5098.97,19.0,0.0,4813.75,33.0,,,24.0,,
1487866588,878.0,,,866.0,6238.27,274792.41,853.0,6847.07,350952.81,956.0,4306.32,338590.51,891.0,14439.95,278794.24,846.0,16373.45,312676.9,813.0,10757.06,314712.62
1487910063,,,,,,,,,,,,,156.0,0.0,20594.6,139.0,0.0,19355.4,236.0,0.0,59954.67
1487944062,,,,,,,,,,39.0,0.0,4663.47,56.0,0.0,5073.86,15.0,0.0,3707.35,,,
1497013064,,,,,,,,,,,,,745.0,,,1519.0,,,1470.0,,
1497045041,,,,,,,,,,146.0,0.0,18087.54,158.0,0.0,21793.25,11.0,0.0,1218.02,,,
1497047526,,,,,,,44.0,0.0,4819.36,67.0,0.0,7383.65,14.0,,,22.0,0.0,3808.4,28.0,,
1497072409,143.0,0.0,33855.39,176.0,0.0,32195.62,244.0,0.0,46175.09,276.0,0.0,72591.51,276.0,0.0,86496.54,198.0,0.0,56195.98,90.0,0.0,30187.56
1497079040,,,,,,,106.0,0.0,22034.15,500.0,18004.43,145257.1,705.0,49873.24,220023.5,842.0,82748.37,263055.92,938.0,135164.52,311977.94
1497707384,591.0,0.0,156858.07,541.0,0.0,148638.51,494.0,0.0,117577.48,448.0,0.0,106338.64,479.0,0.0,109548.57,426.0,0.0,86254.15,377.0,0.0,89456.41
1497709349,1396.0,,,1403.0,0.0,387901.77,1337.0,0.0,387652.59,1246.0,0.0,367941.97,1309.0,0.0,341369.92,1267.0,0.0,333834.25,1327.0,0.0,324320.51
1497711832,252.0,0.0,37970.27,256.0,0.0,40984.63,320.0,0.0,45724.43,308.0,0.0,45946.2,327.0,0.0,47664.6,288.0,0.0,41643.94,293.0,0.0,40139.69
1497730824,750.0,,,705.0,0.0,223484.47,665.0,0.0,239502.28,649.0,,,650.0,0.0,217562.01,495.0,0.0,113287.09,,,
1497738082,679.0,0.0,191233.06,665.0,0.0,159750.85,643.0,0.0,203010.58,553.0,0.0,164487.76,623.0,0.0,148470.05,838.0,,,673.0,,
1497743702,986.0,,,1095.0,,,1133.0,,,1184.0,,,1204.0,0.0,498241.86,1052.0,0.0,352340.54,1215.0,0.0,781647.17
1497752778,801.0,0.0,152548.45,737.0,0.0,137487.22,513.0,0.0,104907.69,449.0,0.0,84775.64,526.0,0.0,82403.66,,,,,,
1497784300,,,,,,,,,,,,,314.0,207067.65,109001.91,27.0,,,158.0,0.0,40998.93
1497790018,471.0,36923.97,636804.25,534.0,52437.74,588790.92,612.0,68277.89,492723.82,577.0,198046.67,377403.01,515.0,214722.73,308463.92,498.0,223461.66,219671.42,529.0,368318.04,255399.08
1497792220,,,,,,,,,,,,,,,,,,,28.0,0.0,10172.65
1497827745,,,,,,,117.0,0.0,6037.25,,,,,,,,,,,,
1497829006,1194.0,0.0,300649.42,1166.0,0.0,273860.99,1138.0,0.0,258162.56,1104.0,0.0,212710.57,1003.0,0.0,208983.24,918.0,0.0,158508.59,820.0,0.0,123814.89
1497833156,,,,14.0,0.0,1592.1,11.0,0.0,2822.08,13.0,0.0,3143.21,14.0,0.0,1250.9,17.0,0.0,3371.2,13.0,0.0,2156.13
1497833586,,,,,,,,,,,,,17.0,0.0,1100.87,34.0,0.0,1455.42,20.0,0.0,823.65
1497834147,2995.0,0.0,476093.43,3252.0,0.0,542719.58,3610.0,0.0,604137.75,3519.0,0.0,594632.68,3558.0,0.0,611294.95,3759.0,0.0,595167.99,3950.0,0.0,640139.39
1497836423,1463.0,1306.99,525422.88,1310.0,0.0,534987.63,1223.0,0.0,524425.81,1164.0,0.0,604423.58,1197.0,5617.51,516180.27,1214.0,794.74,592476.92,1360.0,3590.36,954785.96
1497864664,2303.0,1253528.61,1928735.03,2160.0,2148513.49,1467795.34,2086.0,2188202.26,1241106.45,1965.0,1919705.43,1260325.97,1948.0,1928346.09,1286398.67,1814.0,1923456.59,1095199.67,1758.0,1655175.8,928335.89
1497876254,,,,,,,422.0,227761.15,90804.92,1277.0,1217169.32,343054.35,778.0,650858.29,334948.59,646.0,422668.78,183149.9,43.0,,
1497878953,186.0,0.0,4744.65,189.0,0.0,4611.34,184.0,0.0,3877.17,167.0,0.0,4442.95,47.0,0.0,498.19,,,,,,
1497879449,,,,,,,,,,,,,415.0,,,296.0,,,380.0,,
1497901565,117.0,0.0,16236.21,49.0,0.0,6756.76,1004.0,115135.72,374249.96,2057.0,1609062.65,1193904.17,2138.0,2252691.06,1332811.2,2213.0,3476126.81,1328898.1,2341.0,3562842.41,1368707.0
1497926729,219.0,315631.73,269025.79,210.0,544496.07,231240.04,,,,,,,,,,,,,,,
1497943914,920.0,1075819.2,1312749.76,750.0,1231086.87,1546441.68,658.0,783535.35,1188667.41,638.0,295979.66,1414826.07,1030.0,442720.49,1935684.03,1199.0,452168.91,1964212.94,1274.0,477700.3,2090580.43
1497947675,47.0,0.0,1808.07,66.0,0.0,4893.23,59.0,0.0,3343.3,74.0,0.0,4869.41,90.0,0.0,6734.33,82.0,0.0,6180.37,95.0,0.0,7637.95
1497955652,,,,14.0,0.0,4514.28,37.0,,,42.0,,,35.0,,,30.0,,,69.0,77881.68,25776.89
1508027640,34.0,0.0,5327.41,50.0,0.0,9379.0,,,,,,,11.0,0.0,2284.98,15.0,,,12.0,0.0,1212.96
1508028523,50.0,0.0,10700.78,208.0,109141.38,68265.05,,,,,,,,,,,,,,,
1508036880,19.0,0.0,2397.49,45.0,0.0,7182.17,45.0,0.0,5462.38,29.0,0.0,4789.1,29.0,0.0,4981.7,16.0,0.0,2715.12,28.0,0.0,6576.08
1508048802,136.0,0.0,41536.14,372.0,,,373.0,,,398.0,0.0,250727.33,585.0,0.0,376500.13,596.0,0.0,341294.58,,,
1508049321,326.0,0.0,594106.18,294.0,0.0,402039.24,297.0,0.0,424057.9,287.0,0.0,348477.43,303.0,0.0,382442.85,315.0,0.0,361821.92,285.0,0.0,317277.7
1508050220,599.0,,,639.0,0.0,249918.38,637.0,0.0,231753.39,690.0,0.0,208391.16,797.0,0.0,262326.59,974.0,0.0,316882.61,961.0,0.0,292921.51
1508070566,311.0,141366.82,150588.33,605.0,628657.11,448267.65,800.0,895409.64,585301.06,930.0,1079562.8,677456.6,1174.0,1428337.66,782123.33,1335.0,1783015.53,799182.98,1500.0,2383990.17,931785.16
1508109133,,,,,,,,,,,,,,,,,,,521.0,91010.76,72958.53
1508181355,,,,,,,214.0,0.0,26914.15,644.0,0.0,192919.14,,,,,,,,,
1508380999,,,,,,,,,,,,,,,,70.0,0.0,6930.84,103.0,0.0,8488.42
1508801028,220.0,,,289.0,276.09,282060.89,326.0,200.04,293214.61,334.0,,,344.0,,,342.0,,,342.0,0.0,340894.55
1508814914,41.0,0.0,14290.54,43.0,0.0,11780.43,44.0,0.0,20709.73,48.0,0.0,16863.9,65.0,0.0,25734.28,95.0,0.0,33264.22,146.0,0.0,49611.04
1508822016,846.0,0.0,205185.17,832.0,0.0,189156.69,761.0,0.0,180601.62,815.0,0.0,141934.33,792.0,0.0,111436.62,784.0,0.0,104984.31,678.0,0.0,87887.03
1508837279,1242.0,,,897.0,,,844.0,,,1144.0,0.0,227722.09,1441.0,3506.55,229451.55,774.0,4074.17,148971.35,786.0,,
1508859828,484.0,0.0,109583.61,309.0,0.0,47525.06,53.0,0.0,10248.68,48.0,0.0,7901.69,43.0,0.0,8876.9,34.0,0.0,7159.92,32.0,0.0,6020.03
1508869819,1387.0,4865.89,445836.55,1575.0,29420.09,517186.67,1474.0,25309.87,511273.56,1566.0,62521.45,483617.57,1633.0,46269.11,436691.66,1552.0,96006.56,415488.06,1532.0,56511.43,447076.79
1508870700,917.0,1804.04,560580.94,994.0,3177.56,606160.06,1032.0,3266.12,554587.42,1101.0,27165.22,631183.45,1166.0,223114.32,568271.82,1195.0,194384.56,548630.72,1217.0,209495.26,548504.29
1508871187,251.0,,,229.0,0.0,124925.67,192.0,0.0,85608.8,,,,,,,,,,,,
1508881715,1180.0,64852.71,580848.94,1152.0,136165.8,531576.2,1168.0,136307.91,648989.47,1177.0,179148.58,672933.86,1303.0,228420.05,731764.76,1313.0,167099.57,609665.25,1496.0,115657.79,678305.8
1508940628,,,,,,,,,,764.0,101064.16,172418.28,753.0,206133.93,157581.8,586.0,663743.5,271888.94,1034.0,1090898.46,464136.22
1508944562,490.0,0.0,163435.79,602.0,0.0,182836.5,583.0,0.0,164979.8,908.0,0.0,254836.44,921.0,0.0,278137.27,1145.0,0.0,318705.79,1020.0,0.0,316530.42
1508948993,406.0,0.0,189860.15,471.0,0.0,236619.84,502.0,0.0,224810.52,515.0,0.0,243139.69,493.0,0.0,194667.77,527.0,0.0,210819.36,515.0,,
1508957564,,,,157.0,0.0,32603.0,527.0,0.0,108673.71,631.0,0.0,212745.51,687.0,0.0,188446.71,711.0,0.0,193890.56,778.0,0.0,197682.01
1508961640,82.0,0.0,8682.08,27.0,0.0,3659.73,34.0,0.0,5341.42,,,,,,,125.0,0.0,17283.92,193.0,0.0,33821.55
1508979006,1826.0,0.0,442766.19,1976.0,0.0,482592.12,2115.0,0.0,491253.81,1837.0,0.0,386254.14,1911.0,0.0,410392.75,1823.0,0.0,375610.11,1857.0,0.0,361630.0
1508980525,,,,138.0,0.0,96142.01,238.0,0.0,171442.51,214.0,0.0,157624.93,116.0,0.0,59863.41,87.0,0.0,51439.85,123.0,0.0,52827.15
1508991993,1063.0,0.0,312510.39,1063.0,0.0,299112.25,1032.0,0.0,301959.3,973.0,0.0,284101.03,941.0,0.0,268228.01,904.0,,,876.0,,
1508992108,,,,,,,50.0,0.0,3766.46,543.0,0.0,56092.22,503.0,0.0,47500.95,426.0,0.0,45311.57,465.0,0.0,47735.61
1518015478,17.0,0.0,2530.89,,,,11.0,0.0,613.05,11.0,0.0,1009.14,15.0,0.0,1156.4,23.0,0.0,1355.32,17.0,0.0,1341.99
1518027424,810.0,0.0,400060.05,878.0,0.0,423313.4,781.0,0.0,292474.68,716.0,0.0,387188.7,782.0,0.0,393249.6,851.0,0.0,364162.23,958.0,0.0,432447.95
1518038231,189.0,0.0,35814.16,214.0,0.0,46768.66,265.0,0.0,72223.84,291.0,0.0,71490.0,308.0,0.0,81017.24,318.0,0.0,72969.23,303.0,0.0,64012.07
1518046754,1832.0,14166.72,610786.76,1859.0,32820.8,627902.13,1839.0,18580.56,625408.23,1950.0,117007.35,609562.91,1973.0,306160.39,699409.89,1741.0,120269.21,616825.41,1767.0,24539.9,628220.86
1518057108,1731.0,0.0,774199.91,1777.0,0.0,700634.67,1774.0,0.0,733519.37,1954.0,0.0,874674.42,1582.0,0.0,561210.03,1269.0,0.0,443924.27,1274.0,0.0,456226.17
1518073428,532.0,4885.96,147606.59,570.0,3034.96,125806.88,530.0,5764.11,122115.03,462.0,5008.36,98444.08,434.0,3816.25,87933.1,307.0,,,243.0,,
1518129964,41.0,0.0,5246.22,83.0,0.0,17361.05,140.0,,,168.0,,,254.0,,,441.0,,,567.0,,
1518129980,564.0,,,423.0,,,480.0,,,368.0,,,276.0,0.0,123420.7,160.0,0.0,64491.19,170.0,,
1518173939,2400.0,32284.02,936965.88,2566.0,38045.47,983898.47,2574.0,28266.48,860487.48,2662.0,30947.77,854377.87,2806.0,36048.12,1042086.0,2952.0,30058.35,974419.81,3059.0,30212.05,1023750.67
1518187202,,,,66.0,0.0,18716.17,83.0,0.0,16065.42,55.0,,,54.0,,,62.0,,,24.0,,
1518203207,,,,,,,,,,61.0,0.0,6910.7,80.0,0.0,9432.23,26.0,0.0,2428.91,24.0,0.0,2530.43
1518221381,,,,,,,,,,,,,,,,218.0,0.0,57551.58,78.0,0.0,66434.01
1518223080,,,,,,,,,,,,,43.0,0.0,5372.31,366.0,,,338.0,,
1518285360,,,,23.0,0.0,4149.79,173.0,,,191.0,,,236.0,,,288.0,,,354.0,,
1518384684,,,,,,,,,,,,,,,,,,,60.0,0.0,4686.86
1518901651,1590.0,1744894.64,959659.29,1596.0,1935085.5,954581.25,1498.0,1856723.44,982552.09,1412.0,1702479.68,867934.2,1354.0,1459553.75,818774.0,1409.0,1244100.79,801963.33,1419.0,1090708.15,822273.39
1518922178,704.0,0.0,125781.25,713.0,0.0,138193.94,704.0,0.0,134669.39,693.0,0.0,117341.48,679.0,0.0,124367.85,710.0,0.0,117048.19,739.0,0.0,140880.13
1518939297,156.0,0.0,53795.06,201.0,0.0,65994.24,221.0,0.0,65232.28,214.0,0.0,62999.65,231.0,0.0,82574.47,236.0,0.0,84160.2,235.0,0.0,92246.22
1518939354,121.0,0.0,17497.45,139.0,0.0,17928.55,142.0,0.0,21513.88,123.0,,,101.0,,,119.0,0.0,19932.54,104.0,0.0,16848.82
1518940436,296.0,0.0,82142.59,340.0,0.0,85557.01,358.0,0.0,90757.37,344.0,0.0,97924.87,372.0,0.0,97093.2,411.0,0.0,99112.02,389.0,0.0,87067.65
1518942283,1411.0,224067.65,439377.02,1536.0,302143.72,429867.58,1515.0,429406.3,406760.26,1622.0,487439.02,408899.71,1546.0,440720.63,378162.95,1503.0,387492.05,375762.17,1571.0,391018.01,387990.84
1518975473,795.0,0.0,103040.28,254.0,0.0,23546.52,,,,,,,,,,,,,,,
1518977222,591.0,,,613.0,,,589.0,,,571.0,,,565.0,5466.78,305746.21,564.0,,,566.0,,
1518977685,672.0,0.0,275411.68,769.0,,,839.0,0.0,399412.4,873.0,0.0,432478.76,925.0,0.0,434587.87,1017.0,0.0,469994.55,989.0,0.0,457365.75
1518977693,276.0,0.0,100610.98,242.0,0.0,80715.09,213.0,0.0,66736.78,,,,15.0,0.0,4088.74,94.0,0.0,21018.5,,,
1518980069,260.0,0.0,101329.08,221.0,0.0,81159.51,,,,,,,,,,,,,,,
1518982057,659.0,0.0,285169.75,683.0,0.0,269643.26,657.0,0.0,264920.57,569.0,0.0,216094.41,518.0,0.0,208373.24,530.0,0.0,214840.4,534.0,0.0,203433.02
1518983352,833.0,155869.57,672624.71,834.0,573422.09,634680.28,835.0,573502.27,699095.7,803.0,542538.14,633115.58,810.0,559523.83,581071.4,788.0,525608.13,439766.56,709.0,734138.36,410617.57
1518983493,158.0,0.0,76326.54,321.0,,,388.0,,,361.0,,,406.0,,,452.0,,,425.0,,
1518986066,232.0,0.0,46634.44,250.0,0.0,48408.94,118.0,0.0,12980.33,,,,,,,,,,,,
1518989862,640.0,132.34,182948.92,638.0,,,513.0,0.0,127734.43,454.0,0.0,125397.73,399.0,0.0,95210.75,347.0,,,270.0,0.0,58077.02
1518989938,659.0,,,667.0,,,620.0,,,665.0,0.0,239569.84,670.0,0.0,252981.36,663.0,0.0,232283.19,671.0,0.0,250969.49
1528016417,259.0,0.0,116648.21,230.0,0.0,91405.1,238.0,0.0,100339.71,257.0,0.0,102838.69,238.0,0.0,111751.83,183.0,0.0,66041.83,168.0,0.0,65009.3
1528043023,2252.0,879667.89,1528583.85,2449.0,1888549.53,1532312.16,2539.0,2279409.43,1567668.34,2516.0,2625305.86,1543415.77,2484.0,2841750.4,1450804.92,2417.0,3160917.77,1298643.8,2511.0,3342909.87,1279537.34
1528048584,140.0,605.04,114594.31,123.0,,,123.0,,,119.0,,,95.0,,,92.0,,,74.0,,
1528051604,391.0,0.0,141720.35,425.0,0.0,119528.93,446.0,,,497.0,,,446.0,0.0,163637.49,533.0,,,611.0,,
1528052719,,,,,,,14.0,0.0,6043.05,13.0,0.0,5071.97,,,,,,,,,
1528054640,742.0,0.0,301218.69,669.0,0.0,277472.72,630.0,0.0,288025.73,592.0,,,572.0,,,526.0,,,500.0,,
1528060308,399.0,0.0,51327.13,395.0,,,405.0,,,424.0,0.0,61656.95,467.0,,,652.0,,,732.0,,
1528060746,1333.0,,,1468.0,,,1511.0,,,1424.0,,,1455.0,,,1525.0,,,1474.0,,
1528075389,1252.0,,,1226.0,0.0,447715.95,1162.0,,,1126.0,,,432.0,0.0,163579.31,443.0,0.0,149758.29,501.0,0.0,131391.69
1528080694,610.0,,,614.0,,,623.0,,,592.0,0.0,237067.17,621.0,,,628.0,0.0,227037.97,659.0,,
1528081098,154.0,,,199.0,0.0,53249.68,217.0,0.0,45358.91,192.0,0.0,53139.91,392.0,0.0,99016.94,272.0,,,284.0,,
1528104999,,,,,,,,,,140.0,0.0,40828.14,159.0,0.0,49371.56,196.0,0.0,63886.41,105.0,0.0,24102.44
1528110392,713.0,390486.41,206921.34,278.0,339724.49,90274.68,,,,,,,,,,,,,,,
1528121126,432.0,203522.38,386142.06,537.0,393773.54,309439.74,534.0,501875.29,336525.67,582.0,666846.37,371146.19,586.0,730137.97,343979.23,590.0,748293.18,321379.14,658.0,779378.14,326715.35
1528139367,1518.0,0.0,484028.66,1537.0,0.0,478801.49,1602.0,0.0,565598.84,1677.0,0.0,633718.35,1750.0,,,1880.0,,,1989.0,,
1528145455,,,,,,,,,,,,,,,,,,,852.0,113462.35,339735.55
1528149036,1040.0,0.0,304411.45,1001.0,0.0,404391.73,1005.0,0.0,315142.72,969.0,0.0,267887.62,955.0,0.0,320577.2,988.0,0.0,311120.29,1554.0,0.0,413315.41
1528155835,432.0,0.0,84756.4,491.0,0.0,96365.3,245.0,0.0,45454.82,258.0,0.0,51414.01,330.0,0.0,52729.91,337.0,0.0,85118.81,325.0,0.0,64061.02
1528177706,2238.0,1654852.52,1738171.22,1986.0,2185896.7,1282176.67,1969.0,1910515.59,1195722.82,1840.0,1941815.63,1106817.33,1686.0,2118328.76,1067824.41,1662.0,2202558.7,953917.82,1727.0,2118293.35,925965.8
1528183035,,,,,,,,,,,,,,,,19.0,,,24.0,0.0,2990.49
1528191269,398.0,0.0,122569.76,192.0,0.0,53794.25,217.0,0.0,73051.86,306.0,0.0,85248.19,300.0,0.0,95737.56,366.0,0.0,108379.66,414.0,0.0,125060.19
1528257060,210.0,28794.02,109857.15,381.0,56592.76,272772.28,,,,,,,17.0,,,20.0,,,20.0,,
1528320298,,,,,,,,,,,,,30.0,0.0,3187.54,14.0,0.0,2706.88,83.0,0.0,20675.22
1528321767,,,,,,,,,,182.0,0.0,32668.28,,,,,,,326.0,0.0,44650.57
1528355799,,,,,,,,,,,,,73.0,0.0,13120.35,35.0,0.0,2534.89,264.0,,
1528356110,,,,,,,,,,88.0,0.0,20907.25,341.0,0.0,138602.82,,,,,,
1528402633,,,,,,,,,,,,,,,,38.0,0.0,7055.37,54.0,0.0,6002.93
1538107248,1035.0,827179.11,441878.54,1016.0,1347920.36,444590.56,1047.0,1646604.13,442308.64,917.0,1593394.44,427004.58,927.0,1556101.47,350849.74,957.0,1387031.1,339869.61,990.0,572023.49,318250.83
1538126735,,,,,,,,,,,,,607.0,0.0,233939.94,718.0,0.0,262891.27,597.0,0.0,264888.89
1538130380,669.0,,,639.0,0.0,298522.87,602.0,,,511.0,,,470.0,,,441.0,16395.19,192008.6,445.0,83389.9,160736.4
1538134796,,,,,,,,,,,,,,,,,,,50.0,0.0,13102.06
1538137666,464.0,,,506.0,0.0,296260.35,499.0,0.0,292095.63,557.0,0.0,298776.84,648.0,0.0,338997.89,731.0,0.0,327796.85,878.0,0.0,398139.24
1538140108,855.0,25026.65,425939.67,922.0,26264.35,461891.64,915.0,26864.34,433012.69,913.0,37445.41,398623.01,,,,,,,,,
1538144829,694.0,535.24,395398.35,659.0,1289.44,354451.86,626.0,861.61,329211.47,548.0,1506.98,266294.13,509.0,2060.99,245557.81,493.0,3519.36,219326.05,431.0,2789.57,185470.84
1538172424,2234.0,0.0,509654.65,2133.0,0.0,462071.94,2145.0,0.0,443485.33,2166.0,0.0,467187.74,2150.0,0.0,447645.4,2122.0,0.0,450163.58,2057.0,0.0,437553.13
1538186044,1481.0,0.0,370176.01,1484.0,0.0,337870.05,1451.0,0.0,319279.96,1556.0,0.0,354855.96,1474.0,0.0,317419.7,1447.0,0.0,348645.43,1226.0,0.0,281707.01
1538190749,582.0,0.0,238683.83,405.0,0.0,191021.49,442.0,0.0,207943.45,649.0,0.0,234474.68,27.0,0.0,2164.77,,,,,,
1538247267,11.0,0.0,1782.63,25.0,0.0,3803.33,26.0,0.0,2828.17,17.0,0.0,2828.07,24.0,0.0,2566.71,29.0,0.0,2370.97,28.0,0.0,4160.15
1538249099,429.0,0.0,100569.06,439.0,0.0,101837.01,415.0,0.0,100667.62,283.0,0.0,43672.98,544.0,0.0,97807.4,629.0,0.0,114137.78,539.0,0.0,96744.56
1538265632,2364.0,0.0,1878783.94,2612.0,0.0,1639031.5,2759.0,0.0,1575408.85,2663.0,0.0,1745202.41,2813.0,0.0,1736867.27,2607.0,0.0,1655461.01,2432.0,0.0,1587878.94
1538294129,662.0,51170.74,273907.02,687.0,166460.19,250678.05,1166.0,692171.86,387836.29,1011.0,1310047.51,457663.69,591.0,158966.01,318201.24,618.0,185283.04,309771.13,715.0,131063.66,349110.7
1538295720,544.0,458491.85,320351.99,583.0,357588.23,212263.45,407.0,493161.87,277601.2,528.0,659127.8,364661.97,554.0,608837.24,364736.33,608.0,896909.83,405553.18,685.0,1210634.58,423658.23
1538330139,1148.0,0.0,232598.55,1113.0,0.0,202932.43,1114.0,0.0,192656.91,1097.0,0.0,182385.59,1005.0,0.0,165105.62,994.0,0.0,178071.21,914.0,0.0,169482.87
1538349196,18.0,0.0,6420.24,25.0,,,20.0,0.0,6341.07,22.0,,,12.0,,,17.0,,,11.0,,
1538356001,696.0,0.0,229180.96,675.0,0.0,196357.75,695.0,0.0,182669.16,681.0,0.0,175095.77,665.0,0.0,158142.96,626.0,0.0,164435.04,637.0,0.0,165163.54
1538366984,31.0,0.0,6495.31,,,,153.0,,,200.0,,,198.0,,,192.0,,,208.0,,
1538383864,1099.0,0.0,309994.12,1216.0,0.0,300497.54,1331.0,0.0,379348.14,1410.0,0.0,384025.32,1435.0,0.0,354157.0,1497.0,0.0,369208.47,1612.0,0.0,390589.79
1538487756,,,,,,,,,,,,,45.0,,,197.0,15821.29,62379.07,231.0,76224.56,94575.12
1548200488,1031.0,,,1004.0,,,1037.0,,,1003.0,,,851.0,,,770.0,,,580.0,,
1548201122,738.0,,,723.0,4844.3,261293.05,690.0,4511.03,243177.81,603.0,5125.92,194963.94,530.0,8198.97,185992.97,720.0,12405.53,273434.35,688.0,12604.7,235430.32
1548203904,,,,,,,,,,154.0,,,241.0,0.0,167399.06,232.0,0.0,156398.12,163.0,0.0,91689.92
1548224736,250.0,0.0,27647.96,377.0,0.0,38486.73,274.0,0.0,38681.94,51.0,0.0,5739.72,,,,,,,,,
1548249881,1000.0,0.0,280449.57,1179.0,,,1064.0,,,983.0,,,918.0,,,898.0,10285.51,220519.2,894.0,,
1548268873,1226.0,0.0,371680.44,1156.0,0.0,331454.92,1002.0,0.0,275140.01,855.0,0.0,244818.55,1044.0,0.0,328132.01,972.0,0.0,305095.09,926.0,0.0,279199.6
1548271042,24.0,0.0,1864.97,,,,,,,,,,,,,,,,,,
1548276454,653.0,0.0,194946.92,621.0,0.0,193139.15,511.0,0.0,131185.5,451.0,0.0,92204.0,415.0,0.0,82052.47,404.0,0.0,93513.09,452.0,0.0,101182.28
1548289671,1162.0,0.0,261540.72,1189.0,0.0,271744.67,1075.0,0.0,255801.61,991.0,0.0,229670.9,902.0,0.0,202050.25,938.0,0.0,194746.14,413.0,0.0,106447.93
1548294101,2258.0,1518581.15,1758173.76,2348.0,2426897.19,1512327.8,2349.0,2436013.81,1421486.07,2385.0,2840758.05,1425958.71,2011.0,2601896.87,1258961.34,1602.0,2595436.6,948614.26,1775.0,2123199.82,921472.32
1548311053,,,,99.0,0.0,5503.86,161.0,,,197.0,,,121.0,0.0,10752.94,99.0,0.0,9390.8,91.0,0.0,13560.69
1548322381,94.0,,,119.0,,,104.0,,,103.0,,,102.0,,,114.0,,,114.0,0.0,24373.83
