,Number of Medicare Beneficiaries-2012,Total Drug Medicare Payment Amount-2012,Total Medical Medicare Payment Amount-2012,Number of Medicare Beneficiaries-2013,Total Drug Medicare Payment Amount-2013,Total Medical Medicare Payment Amount-2013,Number of Medicare Beneficiaries-2014,Total Drug Medicare Payment Amount-2014,Total Medical Medicare Payment Amount-2014,Number of Medicare Beneficiaries-2015,Total Drug Medicare Payment Amount-2015,Total Medical Medicare Payment Amount-2015,Number of Medicare Beneficiaries-2016,Total Drug Medicare Payment Amount-2016,Total Medical Medicare Payment Amount-2016,Number of Medicare Beneficiaries-2017,Total Drug Medicare Payment Amount-2017,Total Medical Medicare Payment Amount-2017,Number of Medicare Beneficiaries-2018,Total Drug Medicare Payment Amount-2018,Total Medical Medicare Payment Amount-2018
1053307983,981.0,0.0,274867.14,938.0,0.0,234881.43,710.0,,,656.0,0.0,108330.22,617.0,0.0,75965.84,512.0,0.0,57635.07,,,
1053312108,793.0,66999.05,214155.28,801.0,80950.89,224647.45,754.0,58608.69,181220.12,800.0,36879.05,194065.43,779.0,23232.73,186645.06,715.0,26637.7,159327.06,708.0,30615.08,148792.21
1053312157,835.0,,,696.0,53171.42,174934.6,785.0,109475.76,217491.48,715.0,119283.66,181877.59,680.0,94657.37,169271.53,590.0,,,648.0,,
1053331538,691.0,0.0,167378.59,665.0,0.0,163234.49,596.0,,,687.0,0.0,195027.11,666.0,0.0,196630.26,648.0,0.0,185978.03,666.0,0.0,173866.86
1053337956,766.0,0.0,227414.36,849.0,0.0,233967.77,834.0,0.0,228311.26,750.0,0.0,188653.06,743.0,0.0,178517.52,687.0,0.0,146604.9,657.0,0.0,146876.08
1053350561,308.0,0.0,59243.36,279.0,,,286.0,0.0,54436.46,294.0,0.0,64423.55,297.0,0.0,60038.01,506.0,0.0,120459.72,542.0,0.0,163474.38
1053366633,71.0,0.0,10535.74,105.0,0.0,23253.71,102.0,0.0,29095.02,97.0,0.0,20368.17,93.0,0.0,26513.79,76.0,0.0,26023.29,44.0,0.0,14550.66
1053387365,665.0,,,651.0,,,542.0,,,512.0,,,474.0,,,477.0,,,526.0,,
1053433979,38.0,,,36.0,0.0,6274.85,58.0,0.0,16588.04,30.0,0.0,8443.93,22.0,0.0,3479.21,21.0,0.0,4543.91,36.0,0.0,7545.8
1053470708,,,,,,,,,,,,,13.0,0.0,1180.03,11.0,0.0,1573.56,,,
1053483354,286.0,0.0,40560.36,293.0,0.0,49211.48,319.0,0.0,64943.56,344.0,0.0,65694.21,380.0,0.0,73026.9,313.0,0.0,69022.37,268.0,0.0,35959.06
1053499830,,,,12.0,0.0,2834.57,17.0,0.0,3017.75,11.0,0.0,828.15,17.0,0.0,1498.14,,,,15.0,0.0,2220.35
1053517789,168.0,0.0,24508.18,248.0,0.0,133924.45,328.0,0.0,100232.47,704.0,,,577.0,,,227.0,,,277.0,0.0,89605.87
1053519447,183.0,47.71,56076.12,24.0,,,87.0,0.0,22840.95,330.0,0.0,139219.95,373.0,0.0,134861.24,431.0,,,572.0,,
1053568188,355.0,0.0,46869.43,342.0,0.0,41156.62,309.0,0.0,34368.27,329.0,0.0,42285.04,281.0,0.0,30653.79,197.0,0.0,23644.64,,,
1053579169,522.0,,,591.0,,,648.0,38837.49,211124.36,692.0,44847.42,243712.74,673.0,43836.26,225885.63,641.0,,,674.0,65122.01,218975.3
1053638726,,,,,,,,,,45.0,0.0,4319.9,,,,,,,,,
1053670810,,,,,,,,,,,,,,,,63.0,,,171.0,,
1053687004,,,,,,,,,,,,,58.0,,,81.0,,,56.0,,
1063417814,459.0,0.0,87182.49,503.0,0.0,88437.96,447.0,0.0,96609.35,374.0,0.0,94273.0,340.0,0.0,93169.49,278.0,0.0,76126.01,257.0,0.0,63300.35
1063419539,1240.0,0.0,151634.39,59.0,0.0,4361.74,,,,,,,,,,,,,,,
1063420974,1124.0,0.0,158625.71,770.0,0.0,79253.44,,,,146.0,0.0,11943.15,501.0,0.0,55852.3,350.0,0.0,35012.86,11.0,0.0,730.32
